ProductID,ProductName,Category
JNE3797-KR-M,JNE3797,Western Dress
JNE3440-KR-N-M,JNE3440,kurta
JNE3802-KR-M,JNE3802,kurta
J0285-SKD-M,J0285,Set
SET322-KR-SHA-XL,SET322,Set
MEN5021-KR-XL,MEN5021,kurta
PJ0096-KR-N-5XL,PJ0096,kurta
JNE3461-KR-M,JNE3461,kurta
SET383-KR-NP-L,SET383,Set
J0002-SKD-XXXL,J0002,Set
SET344-KR-NP-XXXL,SET344,Set
JNE3465-KR-XXL,JNE3465,kurta
SET324-KR-NP-XXL,SET324,Set
SET184-KR-PP-XXXL,SET184,Set
J0008-SKD-S,J0008,Set
J0008-SKD-XXL,J0008,Set
J0013-SKD-XXL,J0013,Set
J0208-DR-S,J0208,Western Dress
SET344-KR-NP-XL,SET344,Set
NW001-TP-PJ-XXL,NW001,Set
SET304-KR-DPT-S,SET304,Set
SET265-KR-NP-XL,SET265,Set
SET004-KR-SP-A-S,SET004,Set
J0012-SKD-M,J0012,Set
JNE3465-KR-M,JNE3465,kurta
SET374-KR-NP-XS,SET374,Set
JNE3567-KR-XL,JNE3567,kurta
J0041-SET-M,J0041,Set
JNE3611-KR-XL,JNE3611,kurta
SET384-KR-NP-XS,SET384,Set
JNE3635-KR-L,JNE3635,kurta
J0118-TP-XXXL,J0118,Top
JNE3654-TP-XS,JNE3654,Top
JNE3652-TP-N-XL,JNE3652,Top
J0339-DR-L,J0339,Western Dress
SET303-KR-NP-XL,SET303,Set
JNE3396-KR-XXXL,JNE3396,kurta
JNE3256-KR-XXXL,JNE3256,kurta
J0340-TP-XS,J0340,Top
J0335-DR-S,J0335,Western Dress
J0008-SKD-L,J0008,Set
SET268-KR-NP-XS,SET268,Set
J0280-SKD-S,J0280,Set
J0339-DR-M,J0339,Western Dress
JNE3564-KR-XXXL,JNE3564,kurta
SET182-KR-DH-L,SET182,Set
SET128-KR-DH-M,SET128,Set
JNE3567-KR-XXL,JNE3567,kurta
JNE3568-KR-L,JNE3568,kurta
JNE3881-DR-XXXL,JNE3881,Western Dress
JNE3639-TP-N-XXL,JNE3639,Top
SET291-KR-PP-XXL,SET291,Set
JNE3613-KR-XXL,JNE3613,kurta
JNE3368-KR-XXXL,JNE3368,kurta
JNE3522-KR-XXL,JNE3522,kurta
JNE3741-KR-XXL,JNE3741,kurta
SET293-KR-NP-S,SET293,Set
SET388-KR-NP-L,SET388,Set
J0008-SKD-XS,J0008,Set
SET197-KR-NP-L,SET197,Set
MEN5029-KR-M,MEN5029,kurta
J0341-DR-XS,J0341,Western Dress
J0010-LCD-L,J0010,Set
JNE3800-KR-M,JNE3800,Western Dress
SET183-KR-DH-M,SET183,Set
J0341-DR-XXL,J0341,Western Dress
J0341-DR-XXXL,J0341,Western Dress
J0331-KR-XXXL,J0331,kurta
JNE3752-KR-XXXL,JNE3752,kurta
SET369-KR-NP-XXL,SET369,Set
JNE3373-KR-XS,JNE3373,kurta
JNE3805-KR-L,JNE3805,kurta
JNE3537-KR-M,JNE3537,kurta
J0003-SET-XL,J0003,Set
SET436-KR-NP-XXXL,SET436,Set
SET264-KR-NP-XXL,SET264,Set
JNE3567-KR-XS,JNE3567,kurta
J0329-KR-XXXL,J0329,kurta
JNE3568-KR-XL,JNE3568,kurta
SET341-KR-NP-L,SET341,Set
JNE3543-KR-M,JNE3543,kurta
JNE3365-KR-1052-A-S,JNE3365,kurta
JNE3759-KR-XL,JNE3759,kurta
MEN5001-KR-L,MEN5001,kurta
J0098-TP-XS,J0098,Top
SET226-KR-PP-L,SET226,Set
SET380-KR-NP-XXXL,SET380,Set
MEN5009-KR-M,MEN5009,kurta
MEN5011-KR-M,MEN5011,kurta
MEN5032-KR-S,MEN5032,kurta
SET359-KR-NP-XXL,SET359,Set
J0199-SET-XXXL,J0199,Set
J0401-DR-L,J0401,Western Dress
J0003-SET-XS,J0003,Set
J0308-DR-XL,J0308,Western Dress
PJNE3252-KR-N-6XL,PJNE3252,kurta
JNE3752-KR-M,JNE3752,kurta
SET217-KR-PP-XXXL,SET217,Set
JNE3799-KR-XL,JNE3799,kurta
JNE3294-KR-S,JNE3294,kurta
SET356-KR-NP-XXXL,SET356,Set
JNE2014-KR-178-XXXL,JNE2014,kurta
J0401-DR-XS,J0401,Western Dress
SET365-KR-NP-L,SET365,Set
JNE3405-KR-XXXL,JNE3405,kurta
J0230-SKD-XXL,J0230,Set
JNE3465-KR-XXXL,JNE3465,kurta
SET265-KR-NP-M,SET265,Set
JNE3288-KR-M,JNE3288,kurta
SET316-KR-DPT-M,SET316,Set
SET268-KR-NP-S,SET268,Set
JNE3800-KR-XXL,JNE3800,Western Dress
JNE2270-KR-487-A-L,JNE2270,kurta
MEN5024-KR-M,MEN5024,kurta
MEN5023-KR-XL,MEN5023,kurta
JNE3797-KR-XS,JNE3797,Western Dress
JNE3515-KR-XL,JNE3515,kurta
J0225-SKD-XXL,J0225,Set
JNE3461-KR-L,JNE3461,kurta
JNE3618-KR-XS,JNE3618,kurta
PJNE3405-KR-N-5XL,PJNE3405,kurta
JNE3500-KR-S,JNE3500,kurta
JNE3368-KR-XXL,JNE3368,kurta
JNE2270-KR-487-A-XL,JNE2270,kurta
JNE3568-KR-S,JNE3568,kurta
J0096-KR-S,J0096,kurta
SET319-KR-NP-S,SET319,Set
J0415-DR-L,J0415,Western Dress
JNE3718-KR-XXL,JNE3718,kurta
SET014-KR-PP-XXL,SET014,Set
SET408-KR-NP-XXL,SET408,Set
J0254-SKD-XS,J0254,Set
SAR114,SAR114,Saree
J0010-LCD-XS,J0010,Set
SET186-KR-DH-K-M,SET186,Set
JNE3819-KR-L,JNE3819,kurta
J0335-DR-L,J0335,Western Dress
SET334-KR-NP-XXL,SET334,Set
JNE3470-KR-XS,JNE3470,kurta
JNE3619-KR-XS,JNE3619,kurta
J0283-SET-XL,J0283,Set
JNE3440-KR-N-XL,JNE3440,kurta
JNE3787-KR-XXL,JNE3787,kurta
SET282-KR-PP-XXL,SET282,Set
JNE3691-TU-L,JNE3691,Top
JNE3727-KR-XXL,JNE3727,kurta
JNE3634-KR-XL,JNE3634,kurta
JNE3675-TU-L,JNE3675,Top
JNE2199-KR-411-A-XXL,JNE2199,kurta
SET184-KR-PP-XXL,SET184,Set
JNE3468-KR-L,JNE3468,kurta
J0213-TP-L,J0213,Top
BL110-XL,BL110,Blouse
J0008-SKD-XL,J0008,Set
SET288-KR-NP-XXL,SET288,Set
SET110-KR-PP-L,SET110,Set
MEN5031-KR-XXXL,MEN5031,kurta
JNE3421-KR-N-M,JNE3421,kurta
SET351-KR-NP-L,SET351,Set
SET337-KR-NP-L,SET337,Set
MEN5021-KR-XXL,MEN5021,kurta
J0338-DR-L,J0338,Western Dress
JNE3364-KR-1051-A-L,JNE3364,kurta
JNE2153-KR-278-A-XL,JNE2153,kurta
JNE3487-KR-XXL,JNE3487,kurta
JNE3865-TP-XXXL,JNE3865,Top
SET291-KR-PP-XXXL,SET291,Set
JNE3704-KR-L,JNE3704,kurta
J0378-SKD-XXL,J0378,Set
JNE3721-KR-XL,JNE3721,kurta
J0308-DR-XXL,J0308,Western Dress
SET398-KR-PP-XXL,SET398,Set
J0157-DR-S,J0157,Western Dress
JNE3799-KR-S,JNE3799,kurta
JNE2265-KR-501-S,JNE2265,kurta
JNE3401-KR-M,JNE3401,kurta
SET332-KR-PP-L,SET332,Set
SET345-KR-NP-XL,SET345,Set
JNE1525-KR-UDF19-A-XL,JNE1525,kurta
J0373-KR-M,J0373,kurta
JNE3449-KR-XXXL,JNE3449,kurta
J0006-SET-L,J0006,Ethnic Dress
SET228-KR-PP-A-XXXL,SET228,Set
MEN5023-KR-S,MEN5023,kurta
SET388-KR-NP-S,SET388,Set
SET333-KR-DPT-XL,SET333,Set
SET172-KR-PP-B-M,SET172,Set
SET268-KR-NP-XL,SET268,Set
SET319-KR-NP-XL,SET319,Set
SET378-KR-NP-XS,SET378,Set
SET344-KR-NP-S,SET344,Set
MEN5002-KR-M,MEN5002,kurta
MEN5006-KR-XXL,MEN5006,kurta
SET363-KR-NP-XL,SET363,Set
JNE3794-KR-XXXL,JNE3794,kurta
SET131-KR-NP-A-XXL,SET131,Set
SET203-KR-DPT-S,SET203,Set
SET098-KR-PP-XL,SET098,Set
JNE3614-KR-M,JNE3614,kurta
J0201-TP-L,J0201,Top
SET201-KR-NP-A-XXL,SET201,Set
NW030-TP-PJ-XXL,NW030,Set
SET273-KR-NP-XXXL,SET273,Set
JNE3690-TU-L,JNE3690,Top
J0247-SKD-S,J0247,Set
SET347-KR-NP-XXXL,SET347,Set
J0386-KR-XXXL,J0386,kurta
J0342-TP-L,J0342,Top
SET363-KR-NP-L,SET363,Set
J0342-TP-M,J0342,Top
J0198-TP-XXXL,J0198,Top
JNE3500-KR-XXL,JNE3500,kurta
JNE3510-KR-XL,JNE3510,kurta
J0005-DR-XXL,J0005,Western Dress
SET360-KR-NP-XXL,SET360,Set
SET110-KR-PP-S,SET110,Set
J0416-DR-S,J0416,Western Dress
SET310-KR-NP-XXL,SET310,Set
SET188-KR-NP-XS,SET188,Set
J0096-KR-XS,J0096,kurta
SET323-KR-NP-XXL,SET323,Set
PJNE2100-KR-N-5XL,PJNE2100,kurta
PJNE3068-KR-5XL,PJNE3068,kurta
J0196-TP-XXL,J0196,Top
SET187-KR-DH-XL,SET187,Set
SET389-KR-NP-XL,SET389,Set
SAR040,SAR040,Saree
J0372-SKD-L,J0372,Set
J0376-SKD-S,J0376,Set
JNE3518-KR-M,JNE3518,kurta
J0095-SET-XXXL,J0095,Set
NW004-TP-PJ-XXXL,NW004,Set
J0167-KR-S,J0167,kurta
SET374-KR-NP-XXXL,SET374,Set
SET331-KR-NP-M,SET331,Set
SET356-KR-NP-L,SET356,Set
SET293-KR-NP-XXL,SET293,Set
SET375-KR-NP-XXL,SET375,Set
JNE3273-KR-XXL,JNE3273,kurta
SET331-KR-NP-L,SET331,Set
JNE3518-KR-XL,JNE3518,kurta
JNE3476-KR-XL,JNE3476,kurta
JNE3738-KR-XXXL,JNE3738,kurta
JNE3465-KR-XS,JNE3465,kurta
JNE3463-KR-XXXL,JNE3463,kurta
MEN5032-KR-XXL,MEN5032,kurta
SET380-KR-NP-L,SET380,Set
J0230-SKD-M,J0230,Set
JNE3611-KR-XXXL,JNE3611,kurta
JNE3784-KR-M,JNE3784,kurta
SET114-KR-PP-XS,SET114,Set
J0385-KR-M,J0385,kurta
SET347-KR-NP-L,SET347,Set
JNE3437-KR-XXL,JNE3437,kurta
JNE3065-KR-XXL,JNE3065,kurta
J0343-DR-XXL,J0343,Western Dress
J0119-TP-XL,J0119,Top
J0334-TP-XL,J0334,Top
J0236-SKD-XXL,J0236,Set
J0126-SKD-XXXL,J0126,Set
J0230-SKD-XL,J0230,Set
SET171-KR-NP-M,SET171,Set
JNE3365-KR-1052-A-XXXL,JNE3365,kurta
J0012-SKD-XXL,J0012,Set
J0308-DR-M,J0308,Western Dress
J0117-TP-XXL,J0117,Top
SET265-KR-NP-XS,SET265,Set
SET433-KR-NP-XL,SET433,Set
JNE3769-KR-L,JNE3769,kurta
JNE3468-KR-XXXL,JNE3468,kurta
J0154-DR-XXL,J0154,Western Dress
J0154-DR-XS,J0154,Western Dress
SET268-KR-NP-M,SET268,Set
MEN5019-KR-XXXL,MEN5019,kurta
SET333-KR-DPT-XS,SET333,Set
SET110-KR-PP-XXXL,SET110,Set
PJNE2171-KR-N-5XL,PJNE2171,kurta
SET310-KR-NP-S,SET310,Set
SET219-KR-PP-XXXL,SET219,Set
J0096-KR-XL,J0096,kurta
JNE3562-KR-XXL,JNE3562,kurta
JNE3745-KR-S,JNE3745,kurta
JNE3795-KR-XS,JNE3795,kurta
SET397-KR-NP-XXL,SET397,Set
JNE3365-KR-1052-A-M,JNE3365,kurta
SET145-KR-NP-S,SET145,Set
SET220-KR-PP-XL,SET220,Set
JNE3371-KR-XXXL,JNE3371,kurta
JNE3487-KR-XXXL,JNE3487,kurta
JNE3702-KR-XXXL,JNE3702,kurta
JNE3461-KR-XXXL,JNE3461,kurta
JNE3739-KR-L,JNE3739,kurta
SET265-KR-NP-L,SET265,Set
SET343-KR-NP-XXL,SET343,Set
JNE3534-KR-XS,JNE3534,kurta
J0094-KR-M,J0094,kurta
SET364-KR-NP-XXL,SET364,Set
JNE2265-KR-501-XL,JNE2265,kurta
JNE3690-TU-S,JNE3690,Top
SET347-KR-NP-XL,SET347,Set
JNE1998-KR-311-S,JNE1998,kurta
JNE3715-KR-S,JNE3715,kurta
BL003-50BLACK,BL003,Blouse
MEN5005-KR-XXXL,MEN5005,kurta
MEN5028-KR-XXL,MEN5028,kurta
J0215-BL-L,J0215,Blouse
JNE3714-KR-L,JNE3714,kurta
PJNE2199-KR-N-6XL,PJNE2199,kurta
JNE3634-KR-M,JNE3634,kurta
JNE3421-KR-N-L,JNE3421,kurta
SET285-KR-SHA-XS,SET285,Set
JNE3394-KR-A-XL,JNE3394,kurta
SET356-KR-NP-XL,SET356,Set
JNE3468-KR-XXL,JNE3468,kurta
J0343-DR-XXXL,J0343,Western Dress
J0380-SKD-XXXL,J0380,Set
J0382-SKD-XL,J0382,Set
PJNE3399-KR-N-6XL,PJNE3399,kurta
PJNE3068-KR-6XL,PJNE3068,kurta
JNE3468-KR-XL,JNE3468,kurta
J0236-SKD-S,J0236,Set
JNE3799-KR-XS,JNE3799,kurta
SET121-KR-NP-XS,SET121,Set
J0202-TP-XXL,J0202,Top
J0014-LCD-S,J0014,Set
JNE3396-KR-XL,JNE3396,kurta
JNE3609-KR-XXL,JNE3609,kurta
JNE3775-KR-S,JNE3775,kurta
J0301-TP-XXL,J0301,Top
JNE3659-TP-N-L,JNE3659,Top
JNE3652-TP-N-L,JNE3652,Top
SET192-KR-NP-XXXL,SET192,Set
J0336-TP-XXXL,J0336,Top
SET187-KR-DH-M,SET187,Set
JNE3409-KR-S,JNE3409,kurta
SET345-KR-NP-S,SET345,Set
JNE3800-KR-XL,JNE3800,Western Dress
J0228-SKD-S,J0228,Set
J0119-TP-XXL,J0119,Top
JNE3562-KR-XL,JNE3562,kurta
JNE3818-KR-M,JNE3818,kurta
JNE3712-TP-N-M,JNE3712,Top
JNE3423-KR-XL,JNE3423,kurta
J0023-TP-XXL,J0023,Top
JNE2032-KR-205-XXXL,JNE2032,kurta
JNE3560-KR-L,JNE3560,kurta
JNE3706-DR-L,JNE3706,Western Dress
SET398-KR-PP-XS,SET398,Set
J0294-TP-XS,J0294,Top
J0095-SET-XXL,J0095,Set
JNE3463-KR-L,JNE3463,kurta
JNE3546-KR-L,JNE3546,kurta
JNE3764-KR-XL,JNE3764,kurta
SET331-KR-NP-XXXL,SET331,Set
J0278-SET-XXXL,J0278,Set
SET319-KR-NP-XXXL,SET319,Set
J0117-TP-S,J0117,Top
JNE3870-DR-XL,JNE3870,Western Dress
JNE3784-KR-L,JNE3784,kurta
SET287-KR-NP-M,SET287,Set
JNE3567-KR-L,JNE3567,kurta
J0372-SKD-M,J0372,Set
J0139-KR-XXXL,J0139,kurta
J0097-KR-XXXL,J0097,kurta
JNE3399-KR-XL,JNE3399,kurta
SET182-KR-DH-XXXL,SET182,Set
SET304-KR-DPT-XL,SET304,Set
SET356-KR-NP-XXL,SET356,Set
SET110-KR-PP-XS,SET110,Set
JNE3722-KR-L,JNE3722,kurta
JNE3480-KR-M,JNE3480,kurta
SET014-KR-PP-M,SET014,Set
MEN5007-KR-M,MEN5007,kurta
J0339-DR-XL,J0339,Western Dress
JNE3784-KR-XXXL,JNE3784,kurta
JNE3894-TP-M,JNE3894,Top
JNE3543-KR-XL,JNE3543,kurta
MEN5027-KR-XL,MEN5027,kurta
MEN5006-KR-XL,MEN5006,kurta
JNE3806-KR-L,JNE3806,kurta
JNE3870-DR-XXXL,JNE3870,Western Dress
SET349-KR-NP-XS,SET349,Set
JNE3465-KR-XL,JNE3465,kurta
J0343-DR-XL,J0343,Western Dress
MEN5021-KR-M,MEN5021,kurta
MEN5031-KR-S,MEN5031,kurta
SET098-KR-PP-S,SET098,Set
SET278-KR-NP-S,SET278,Set
JNE3294-KR-XXL,JNE3294,kurta
SET363-KR-NP-M,SET363,Set
SET282-KR-PP-XXXL,SET282,Set
J0414-DR-XXXL,J0414,Western Dress
JNE3506-KR-XXL,JNE3506,kurta
MEN5001-KR-M,MEN5001,kurta
MEN5022-KR-M,MEN5022,kurta
MEN5023-KR-M,MEN5023,kurta
MEN5030-KR-M,MEN5030,kurta
MEN5003-KR-XXXL,MEN5003,kurta
JNE3660-TP-N-S,JNE3660,Top
JNE3407-KR-S,JNE3407,kurta
SET359-KR-NP-L,SET359,Set
J0377-SKD-XXXL,J0377,Set
JNE3818-KR-XXL,JNE3818,kurta
JNE3412-KR-XXL,JNE3412,kurta
JNE3757-KR-XXL,JNE3757,kurta
JNE3805-KR-S,JNE3805,kurta
J0308-DR-XXXL,J0308,Western Dress
SET184-KR-PP-S,SET184,Set
JNE3825-KR-M,JNE3825,kurta
BL017-63BLACK,BL017,Blouse
J0098-TP-XXL,J0098,Top
JNE2171-KR-437-S,JNE2171,kurta
JNE3802-KR-L,JNE3802,kurta
PJNE3399-KR-N-4XL,PJNE3399,kurta
J0349-SET-XL,J0349,Set
PJNE3440-KR-N-5XL,PJNE3440,kurta
JNE3579-KR-L,JNE3579,kurta
JNE3373-KR-M,JNE3373,kurta
J0139-KR-XXL,J0139,kurta
MEN5006-KR-L,MEN5006,kurta
J0285-SKD-S,J0285,Set
JNE3724-KR-XL,JNE3724,kurta
NW037-TP-SR-L,NW037,Set
J0334-TP-S,J0334,Top
BL001-50PINK,BL001,Blouse
SET098-KR-PP-XXL,SET098,Set
SET388-KR-NP-XXXL,SET388,Set
NW034-TP-PJ-XXXL,NW034,Set
JNE3639-TP-N-XL,JNE3639,Top
MEN5028-KR-XL,MEN5028,kurta
MEN5011-KR-XL,MEN5011,kurta
JNE3718-KR-L,JNE3718,kurta
SET266-KR-NP-L,SET266,Set
SET048-KR-NP-L,SET048,Set
J0210-DR-XL,J0210,Ethnic Dress
J0095-SET-XL,J0095,Set
SET342-KR-NP-N-XXL,SET342,Set
JNE3487-KR-L,JNE3487,kurta
JNE3651-TP-N-M,JNE3651,Top
J0002-SKD-XL,J0002,Set
J0004-SKD-XL,J0004,Set
J0234-SKD-L,J0234,Set
J0236-SKD-L,J0236,Set
J0010-LCD-S,J0010,Set
J0247-SKD-L,J0247,Set
JNE3721-KR-XS,JNE3721,kurta
